CONSTRAINT_NAME,CONSTRAINT_TYPE,COLUMN_NAME,ORDINAL_POSITION,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
customers_ibfk_1,FOREIGN KEY,salesRepEmployeeNumber,1,classicmodels,employees,employeeNumber
PRIMARY,PRIMARY KEY,customerNumber,1,,,
