TABLE_SCHEMA,TABLE_NAME
sys,x$host_summary_by_statement_type
sys,x$innodb_buffer_stats_by_schema
sys,x$innodb_buffer_stats_by_table
sys,x$innodb_lock_waits
sys,x$io_by_thread_by_latency
sys,x$io_global_by_file_by_bytes
sys,x$io_global_by_file_by_latency
sys,x$io_global_by_wait_by_bytes
sys,x$io_global_by_wait_by_latency
sys,x$latest_file_io
sys,x$memory_by_host_by_current_bytes
sys,x$memory_by_thread_by_current_bytes
sys,x$memory_by_user_by_current_bytes
sys,x$memory_global_by_current_bytes
sys,x$memory_global_total
sys,x$processlist
sys,x$ps_digest_95th_percentile_by_avg_us
sys,x$ps_digest_avg_latency_distribution
sys,x$ps_schema_table_statistics_io
sys,x$schema_flattened_keys
sys,x$schema_index_statistics
sys,x$schema_table_lock_waits
sys,x$schema_table_statistics
sys,x$schema_table_statistics_with_buffer
sys,x$schema_tables_with_full_table_scans
sys,x$session
sys,x$statement_analysis
sys,x$statements_with_errors_or_warnings
sys,x$statements_with_full_table_scans
sys,x$statements_with_runtimes_in_95th_percentile
sys,x$statements_with_sorting
sys,x$statements_with_temp_tables
sys,x$user_summary
sys,x$user_summary_by_file_io
sys,x$user_summary_by_file_io_type
sys,x$user_summary_by_stages
sys,x$user_summary_by_statement_latency
sys,x$user_summary_by_statement_type
sys,x$wait_classes_global_by_avg_latency
sys,x$wait_classes_global_by_latency
sys,x$waits_by_host_by_latency
sys,x$waits_by_user_by_latency
sys,x$waits_global_by_latency
